algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
randomForest,0,0,20,17,0.31,0.31,16.0,20.0,58,2,4.0,20.0
randomForest,0,0,20,18,0,0,0,0,52,3,0,0
randomForest,0,0,20,19,0.45,0.383333333333,17.0,21.0,29,3,4.0,21.0
0.0,0.6,0.0,20,0,0,0,0,0,25,2,0,0
0.0,0.6,0.0,20,1,0,0,0,0,46,3,0,0
0.0,0.6,0.0,20,2,0,0,0,0,27,3,0,0
0.0,0.6,0.0,20,3,0,0,0,0,31,4,0,0
0.0,0.6,0.0,20,4,0,0,0,0,15,2,0,0
0.0,0.6,0.0,20,5,0,0,0,0,29,1,0,0
0.0,0.6,0.0,20,6,0,0,0,0,34,3,0,0
0.0,0.6,0.0,20,7,0,0,0,0,34,2,0,0
0.0,0.6,0.0,20,8,0,0,0,0,39,4,0,0
0.0,0.6,0.0,20,9,0,0,0,0,48,2,0,0
0.0,0.6,0.0,20,10,0,0,0,0,27,1,0,0
0.0,0.6,0.0,20,11,0,0,0,0,40,2,0,0
0.0,0.6,0.0,20,12,0,0,0,0,24,2,0,0
0.0,0.6,0.0,20,13,0,0,0,0,29,4,0,0
0.0,0.6,0.0,20,14,0,0,0,0,6,1,0,0
0.0,0.6,0.0,20,15,0,0,0,0,25,1,0,0
0.0,0.6,0.0,20,16,0,0,0,0,16,3,0,0
0.0,0.6,0.0,20,17,0,0,0,0,58,2,0,0
0.0,0.6,0.0,20,18,0,0,0,0,52,3,0,0
0.0,0.6,0.0,20,19,0,0,0,0,29,3,0,0
0.1,0.6,0.1,20,0,0,0,0,0,25,2,0,0
0.1,0.6,0.1,20,1,0.825,0.363333333333,17.0,21.0,46,3,4.0,21.0
0.1,0.6,0.1,20,2,0,0,0,0,27,3,0,0
0.1,0.6,0.1,20,3,0.851666666667,0.485,16.0,20.0,31,4,4.0,20.0
0.1,0.6,0.1,20,4,0,0,0,0,15,2,0,0
0.1,0.6,0.1,20,5,0,0,0,0,29,1,0,0
0.1,0.6,0.1,20,6,0,0,0,0,34,3,0,0
0.1,0.6,0.1,20,7,0,0,0,0,34,2,0,0
0.1,0.6,0.1,20,8,0,0,0,0,39,4,0,0
0.1,0.6,0.1,20,9,0,0,0,0,48,2,0,0
0.1,0.6,0.1,20,10,0,0,0,0,27,1,0,0
0.1,0.6,0.1,20,11,0.61,0.61,17.0,21.0,40,2,4.0,21.0
0.1,0.6,0.1,20,12,0,0,0,0,24,2,0,0
0.1,0.6,0.1,20,13,0,0,0,0,29,4,0,0
