algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
0.0,0.6,0.0,30,5,0.78,0.78,0.0,31.0,72,2,4.0,31.0
0.0,0.6,0.0,30,6,0.92,0.465,0.0,16.0,13,2,4.0,16.0
0.0,0.6,0.0,30,7,0.83,0.415,0.0,31.0,64,2,4.0,31.0
0.0,0.6,0.0,30,8,0.835,0.835,0.0,19.0,30,2,4.0,19.0
0.0,0.6,0.0,30,9,0.965,0.965,0.0,31.0,56,2,4.0,31.0
0.0,0.6,0.0,30,10,0.86,0.86,0.0,31.0,29,2,4.0,31.0
0.0,0.6,0.0,30,11,0.86,0.43,0.0,31.0,40,2,4.0,31.0
0.0,0.6,0.0,30,12,0.8,0.4,0.0,31.0,87,2,4.0,31.0
0.0,0.6,0.0,30,13,0.945,0.495,0.0,31.0,47,2,4.0,31.0
0.0,0.6,0.0,30,14,0.91,0.313333333333,0.0,8.0,12,3,4.0,8.0
0.0,0.6,0.0,30,15,0.83,0.83,0.0,22.0,30,1,4.0,22.0
0.1,0.6,0.1,30,0,0.85,0.566666666667,12.0,31.0,69,3,4.0,31.0
0.1,0.6,0.1,30,1,0.7,0.35,8.0,31.0,98,2,4.0,31.0
0.1,0.6,0.1,30,2,0.365,0.243333333333,6.0,31.0,82,3,4.0,31.0
0.1,0.6,0.1,30,3,0.756666666667,0.405,14.0,31.0,103,2,4.0,31.0
0.1,0.6,0.1,30,4,0.72,0.72,0.0,31.0,99,1,4.0,31.0
0.1,0.6,0.1,30,5,0.63,0.63,27.0,31.0,72,2,4.0,31.0
0.1,0.6,0.1,30,6,0.28,0.21,12.0,16.0,13,2,4.0,16.0
0.1,0.6,0.1,30,7,0.71,0.355,3.0,31.0,64,2,4.0,31.0
0.1,0.6,0.1,30,8,0.665,0.665,15.0,19.0,30,2,4.0,19.0
0.1,0.6,0.1,30,9,0.738333333333,0.74,27.0,31.0,56,2,4.0,31.0
0.1,0.6,0.1,30,10,0.811666666667,0.825,3.0,31.0,29,2,4.0,31.0
0.1,0.6,0.1,30,11,0.74,0.37,2.0,31.0,40,2,4.0,31.0
0.1,0.6,0.1,30,12,0.755,0.755,27.0,31.0,87,2,4.0,31.0
0.1,0.6,0.1,30,13,0.636666666667,0.64,27.0,31.0,47,2,4.0,31.0
0.1,0.6,0.1,30,14,0.826666666667,0.313333333333,3.0,8.0,12,3,4.0,8.0
0.1,0.6,0.1,30,15,0.74,0.74,7.0,22.0,30,1,4.0,22.0
0.2,0.6,0.2,30,0,0.72,0.72,27.0,31.0,69,3,4.0,31.0
