algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
Sanity,0.6,0.0,10,14,1.0,0,0.969720972336,0.484860486168,10,15,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\tx'"
Sanity,0.6,0.0,10,15,0.791666666667,1,0.994762993935,0.499856031787,11,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.0,10,16,1.0,1,0.992934386282,0.499913772445,11,11,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree'"
Sanity,0.6,0.0,10,17,1.0,1,0.99297890227,0.497370317957,11,19,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
Sanity,0.6,0.0,10,18,0.916666666667,1,0.994515660498,0.499731749811,9,13,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\misc'"
Sanity,0.6,0.1,10,0,1.0,0,0.932412835311,0.932412835311,11,20,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
Sanity,0.6,0.1,10,1,0.6625,3,0.973699171964,0.490761063039,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.1,10,2,1.0,0,0.510014340679,0.510014340679,7,4,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
Sanity,0.6,0.1,10,3,1.0,0,0.45632156538,0.45632156538,4,6,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\id'"
Sanity,0.6,0.1,10,4,1.0,0,0.980549750773,0.980549750773,11,11,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\intent'"
Sanity,0.6,0.1,10,5,1.0,0,0.668979589394,0.668979589394,11,23,1,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.1,10,6,1.0,0,0.93965291588,0.93965291588,11,10,1,5,"""['src\\test\\java\\com\\orientechnologies\\common\\concur\\lock'"
Sanity,0.6,0.1,10,7,0.791666666667,1,0.985429433276,0.495556363165,11,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\coll'"
Sanity,0.6,0.1,10,8,1.0,0,0.546994354076,0.546994354076,4,3,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema'"
Sanity,0.6,0.1,10,9,0.916666666667,1,0.913672562334,0.480652390695,11,15,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\command'"
Sanity,0.6,0.1,10,10,1.0,0,0.882009294677,0.441004647339,11,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.1,10,11,0.791666666667,1,0.912721800276,0.480152226769,6,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\common\\util'"
Sanity,0.6,0.1,10,12,1.0,0,0.965198160885,0.965198160885,11,9,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\memory'"
Sanity,0.6,0.1,10,13,1.0,0,0.878894455392,0.878894455392,11,24,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
Sanity,0.6,0.1,10,14,1.0,0,0.74434157955,0.372170789775,10,15,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\tx'"
Sanity,0.6,0.1,10,15,0.791666666667,1,0.937661264705,0.493272039812,11,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.1,10,16,1.0,1,0.91654122542,0.490994377391,11,11,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree'"
Sanity,0.6,0.1,10,17,1.0,1,0.929003433676,0.473408945039,11,19,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
Sanity,0.6,0.1,10,18,0.916666666667,1,0.945371235742,0.49732799614,9,13,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\misc'"
Sanity,0.6,0.2,10,0,1.0,0,0.852653624053,0.852653624053,11,20,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
Sanity,0.6,0.2,10,1,0.708333333333,2,0.937707665334,0.48243844167,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.2,10,2,0.75,1,0.352843292301,0.352843292301,7,4,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
Sanity,0.6,0.2,10,3,0.75,1,0.305384381364,0.305384381364,4,6,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\id'"
Sanity,0.6,0.2,10,4,1.0,0,0.932579116111,0.932579116111,11,11,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\intent'"
Sanity,0.6,0.2,10,5,1.0,0,0.514232741112,0.514232741112,11,23,1,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.2,10,6,1.0,0,0.847837652214,0.847837652214,11,10,1,5,"""['src\\test\\java\\com\\orientechnologies\\common\\concur\\lock'"
Sanity,0.6,0.2,10,7,0.791666666667,1,0.971335497546,0.490987230571,11,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\coll'"
Sanity,0.6,0.2,10,8,0.75,1,0.387438249863,0.387438249863,4,3,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema'"
Sanity,0.6,0.2,10,9,0.916666666667,1,0.85308464656,0.467073494406,11,15,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\command'"
Sanity,0.6,0.2,10,10,1.0,0,0.79656619702,0.39828309851,11,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.2,10,11,0.791666666667,1,0.842673686162,0.461373375815,6,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\common\\util'"
Sanity,0.6,0.2,10,12,1.0,0,0.921618308198,0.921618308198,11,9,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\memory'"
Sanity,0.6,0.2,10,13,1.0,0,0.808078522492,0.808078522492,11,24,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
Sanity,0.6,0.2,10,14,1.0,0,0.603969056773,0.301984528386,10,15,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\tx'"
Sanity,0.6,0.2,10,15,0.791666666667,1,0.875804164211,0.479512687331,11,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.2,10,16,1.0,1,0.836632171192,0.471865813567,11,11,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree'"
Sanity,0.6,0.2,10,17,1.0,1,0.874586636201,0.453027676939,11,19,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
Sanity,0.6,0.2,10,18,0.916666666667,1,0.904710427319,0.495339193382,9,13,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\misc'"
uniform,0,0,20,0,0.547462406015,0.547462406015,1.0,0,21,58,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
uniform,0,0,20,1,0.899568675977,0.452772938257,0.633333333333,4,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
uniform,0,0,20,2,0.531352272407,0.531352272407,1.0,0,10,5,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
uniform,0,0,20,3,0.70217094698,0.70217094698,1.0,0,6,9,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\id'"
uniform,0,0,20,4,0.880027915273,0.880027915273,1.0,0,21,27,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\intent'"
uniform,0,0,20,5,0.133719630612,0.133719630612,1.0,0,21,54,2,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index'"
uniform,0,0,20,6,0.948504983136,0.5,1.0,1,10,12,2,5,"""['src\\test\\java\\com\\orientechnologies\\common\\concur\\lock'"
uniform,0,0,20,7,0.938480847882,0.330686314819,0.728333333333,6,21,25,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\coll'"
uniform,0,0,20,8,0.55525165437,0.366912525406,0.666666666667,1,21,18,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema'"
uniform,0,0,20,9,0.937869008726,0.491264718977,0.916666666667,1,21,23,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\command'"
uniform,0,0,20,10,0.36410163981,0.182050819905,0.6,8,21,16,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
uniform,0,0,20,11,0.865007893611,0.302066248637,0.59298245614,3,21,19,3,5,"""['src\\main\\java\\com\\orientechnologies\\common\\util'"
uniform,0,0,20,12,0.985541201728,0.492770600864,0.588461538462,4,21,13,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\memory'"
uniform,0,0,20,13,0.610768829408,0.617980880533,1.0,0,21,49,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
uniform,0,0,20,14,0.344270469019,0.172135234509,0.805555555556,7,10,15,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\tx'"
uniform,0,0,20,15,0.908354764249,0.454177382125,0.600961538462,3,20,13,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
uniform,0,0,20,16,0.936454090365,0.333173283229,0.72037037037,7,21,30,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree'"
uniform,0,0,20,17,0.954264713861,0.328568893801,0.705182072829,12,21,34,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
uniform,0,0,20,18,0.867411671362,0.30290566309,0.59298245614,3,21,19,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\misc'"
randomForest,0,0,20,0,0.826758753239,0.826758753239,1.0,0,21,58,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
randomForest,0,0,20,1,0.917377571795,0.46176692733,0.6625,3,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
randomForest,0,0,20,2,0.995362151343,0.995362151343,1.0,0,10,5,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
randomForest,0,0,20,3,0.990547761384,0.990547761384,1.0,0,6,9,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\id'"
randomForest,0,0,20,4,0.9900637519,0.9900637519,1.0,0,21,27,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\intent'"
randomForest,0,0,20,5,0.386165298856,0.386165298856,0.633333333333,4,21,54,2,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index'"
randomForest,0,0,20,6,0.999943167443,0.5,1.0,1,10,12,2,5,"""['src\\test\\java\\com\\orientechnologies\\common\\concur\\lock'"
randomForest,0,0,20,7,0.988397983663,0.331448802919,0.728333333333,6,21,25,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\coll'"
randomForest,0,0,20,8,0.876163492163,0.457910057088,0.791666666667,1,21,18,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema'"
randomForest,0,0,20,9,0.741540282072,0.495181384843,0.666666666667,1,21,23,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\command'"
randomForest,0,0,20,10,0.746667738095,0.373333869047,0.916666666667,1,21,16,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
randomForest,0,0,20,11,0.985838020427,0.330247562408,0.704093567251,3,21,19,3,5,"""['src\\main\\java\\com\\orientechnologies\\common\\util'"
randomForest,0,0,20,12,0.994986572887,0.497493286444,0.588461538462,4,21,13,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\memory'"
randomForest,0,0,20,13,0.773677395286,0.773860151136,1.0,0,21,49,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
randomForest,0,0,20,14,0.807108561066,0.403554280533,1.0,0,10,15,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\tx'"
randomForest,0,0,20,15,0.999010513595,0.499505256797,0.600961538462,3,20,13,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
randomForest,0,0,20,16,0.964243378566,0.333163092745,0.72037037037,7,21,30,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree'"
randomForest,0,0,20,17,0.987407323479,0.329819757934,0.56629318394,12,21,34,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
randomForest,0,0,20,18,0.900926305229,0.301802841893,0.59298245614,3,21,19,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\misc'"
Sanity,0.6,0.0,20,0,1.0,0,0.991660773048,0.991660773048,21,58,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
Sanity,0.6,0.0,20,1,0.633333333333,4,0.998233523558,0.499150035121,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.0,20,2,1.0,0,0.998556201284,0.998556201284,10,5,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
Sanity,0.6,0.0,20,3,1.0,0,0.994554762467,0.994554762467,6,9,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\id'"
