algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
Sanity,0.6,0.0,20,11,1.0,0,0.998234219264,0.459181314471,9,7,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local\\cache'"
Sanity,0.6,0.0,20,12,1.0,1,0.994616736006,0.499947378566,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\collate'"
Sanity,0.6,0.0,20,13,0.791666666667,1,0.982416680956,0.493652163081,21,52,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.1,20,0,0.824924012158,24,0.929403480072,0.291563515575,21,47,5,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree\\local'"
Sanity,0.6,0.1,20,1,0.877083333333,1,0.98897795591,0.494488977955,10,15,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage'"
Sanity,0.6,0.1,20,2,0.777027027027,4,0.993650696837,0.257041291066,21,37,6,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\db\\document'"
Sanity,0.6,0.1,20,3,0.855654761905,35,0.893887078235,0.250481406434,21,42,6,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local'"
Sanity,0.6,0.1,20,4,0.553472222222,14,0.705410186106,0.352705093053,21,45,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type'"
Sanity,0.6,0.1,20,5,0.622051282051,62,0.745368962442,0.298147584977,21,78,5,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.1,20,6,1.0,1,0.707392911552,0.476992695301,21,29,2,5,"""['src\\main\\java\\com\\orientechnologies\\common\\log'"
Sanity,0.6,0.1,20,7,0.732723577236,12,0.959556083889,0.248775262235,21,41,6,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema\\clusterselection'"
Sanity,0.6,0.1,20,8,0.715909090909,2,0.923450773686,0.461725386843,20,11,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
Sanity,0.6,0.1,20,9,1.0,0,0.955341438555,0.444065352847,5,9,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\serialization\\serializer\\record'"
Sanity,0.6,0.1,20,10,0.719298245614,6,0.933827591629,0.265311409041,21,19,5,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
Sanity,0.6,0.1,20,11,1.0,0,0.981238969238,0.454888518389,9,7,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local\\cache'"
Sanity,0.6,0.1,20,12,0.791666666667,1,0.936689966132,0.494305801396,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\collate'"
Sanity,0.6,0.1,20,13,0.791666666667,1,0.794314939878,0.417862361847,21,52,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.2,20,0,0.824924012158,24,0.877457220577,0.278063890146,21,47,5,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree\\local'"
Sanity,0.6,0.2,20,1,0.877083333333,1,0.979371316303,0.489685658151,10,15,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage'"
Sanity,0.6,0.2,20,2,0.777027027027,4,0.988009203538,0.255959989165,21,37,6,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\db\\document'"
Sanity,0.6,0.2,20,3,0.855654761905,35,0.827761853011,0.235551069456,21,42,6,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local'"
Sanity,0.6,0.2,20,4,0.553472222222,14,0.592027878356,0.296013939178,21,45,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type'"
Sanity,0.6,0.2,20,5,0.622051282051,62,0.646609780557,0.258643912223,21,78,5,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.2,20,6,0.791666666667,1,0.625137232876,0.470525041108,21,29,2,5,"""['src\\main\\java\\com\\orientechnologies\\common\\log'"
Sanity,0.6,0.2,20,7,0.732723577236,12,0.926354499765,0.240990395479,21,41,6,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema\\clusterselection'"
Sanity,0.6,0.2,20,8,0.715909090909,2,0.871697512649,0.435848756325,20,11,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
Sanity,0.6,0.2,20,9,1.0,0,0.917320509361,0.430522725377,5,9,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\serialization\\serializer\\record'"
Sanity,0.6,0.2,20,10,0.719298245614,6,0.886915332569,0.257892361207,21,19,5,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
Sanity,0.6,0.2,20,11,1.0,0,0.965364922639,0.450878924828,9,7,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local\\cache'"
Sanity,0.6,0.2,20,12,0.791666666667,1,0.874942672815,0.481544821935,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\collate'"
Sanity,0.6,0.2,20,13,0.791666666667,1,0.624171884323,0.341741167586,21,52,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
uniform,0,0,30,0,0.726999534899,0.15699079467,0.607548309179,42,31,80,6,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree\\local'"
uniform,0,0,30,1,0.944444444436,0.472222222218,0.877083333333,1,10,15,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage'"
uniform,0,0,30,2,0.999637667402,0.285610762115,0.575892857143,1,31,48,7,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\db\\document'"
uniform,0,0,30,3,0.692762174019,0.173190543505,0.392746265173,14,31,63,8,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local'"
uniform,0,0,30,4,0.0728875525871,0.0364437762935,0.314740143369,16,31,62,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type'"
uniform,0,0,30,5,0.285602313021,0.0952007710071,0.323251748252,75,31,110,6,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
uniform,0,0,30,6,0.623810958414,0.229502035959,0.553571428571,12,31,56,4,5,"""['src\\main\\java\\com\\orientechnologies\\common\\log'"
uniform,0,0,30,7,0.825779961657,0.115124699359,0.438470728793,21,31,62,9,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema\\clusterselection'"
uniform,0,0,30,8,0.62495390724,0.178558259211,0.470238095238,4,30,20,7,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
uniform,0,0,30,9,0.829093322435,0.309809751942,0.763888888889,1,5,9,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\serialization\\serializer\\record'"
uniform,0,0,30,10,0.878788214781,0.152687487228,0.496886446886,10,31,30,7,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
uniform,0,0,30,11,0.975342822883,0.362141989362,1.0,0,9,7,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local\\cache'"
uniform,0,0,30,12,0.899078048354,0.47230683318,0.791666666667,1,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\collate'"
uniform,0,0,30,13,0.392777861572,0.205740784698,0.6625,3,31,88,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
randomForest,0,0,30,0,0.909704702038,0.160902558435,0.555762594893,42,31,80,6,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree\\local'"
randomForest,0,0,30,1,0.944444444436,0.472222222218,0.877083333333,1,10,15,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage'"
