algo,noise,project,test #,instance,most or all,wasted effort, precision, recall, HS wasted effort
comp/test prob,05,ant,10,4,all,0,0.9304123711339608,0.9401041666666144,0
comp/test prob,10,ant,10,4,all,0,0.7500000000000531,0.7788461538462025,0
comp/test prob,15,ant,10,4,all,0,0.5432330827072545,0.5826612903230584,0
comp/test prob,20,ant,10,4,all,0,0.37209302325581384,0.4102564102564102,0
comp/test prob,30,ant,10,4,all,0,0.1678082191780822,0.19140625,0
comp/test prob,40,ant,10,4,all,0,0.07692307692315661,0.0891089108911802,1
comp/test prob,50,ant,10,4,all,0,0.03571428571428569,0.041666666666666644,1
comp prob,none,ant,10,4,all,0,0.7531406548072463,0.7540663591192832,0
barinel,none,ant,10,5,all,0,0.6021069124431554,0.676331235926067,0
comp/test prob,00,ant,10,5,all,0,1.0,1.0,0
comp/test prob,05,ant,10,5,all,0,0.94750656167981,0.9704301075268933,0
comp/test prob,10,ant,10,5,all,0,0.8019801980197299,0.8804347826086479,0
comp/test prob,15,ant,10,5,all,0,0.6162046908312283,0.7448453608244786,0
comp/test prob,20,ant,10,5,all,0,0.44444444444486114,0.592592592593,0
comp/test prob,30,ant,10,5,all,0,0.21397379912662629,0.33108108108106626,0
comp/test prob,40,ant,10,5,all,0,0.10112359550577857,0.16981132075496605,6
comp/test prob,50,ant,10,5,all,0,0.04761904761904763,0.08333333333333334,6
comp prob,none,ant,10,5,all,0,0.8695834489357904,0.8697199331753656,0
barinel,none,ant,10,6,all,7,0.5176197770443991,0.22120174517432176,7
comp/test prob,00,ant,10,6,all,11,1.0,0.3333333333333333,0
comp/test prob,05,ant,10,6,all,1,0.9991258851937659,0.3333115680524998,0
comp/test prob,10,ant,10,6,all,2,0.9902103065676607,0.33287623960187546,0
comp/test prob,15,ant,10,6,all,1,0.9549301755128563,0.3303156299257457,0
comp/test prob,20,ant,10,6,all,2,0.8646044624747382,0.32127378933483497,0
comp/test prob,30,ant,10,6,all,1,0.5165250403018323,0.25822558198578244,3
comp/test prob,40,ant,10,6,all,1,0.24479193996959603,0.15788404914204685,5
comp/test prob,50,ant,10,6,all,6,0.13017751479289957,0.09166666666666663,11
comp prob,none,ant,10,6,all,7,0.9789959803939432,0.3296632349616056,7
barinel,none,ant,10,7,all,4,0.5041445870205542,0.3370269721240136,4
comp/test prob,00,ant,10,7,all,1,1.0,0.5,0
comp/test prob,05,ant,10,7,all,0,0.9989924305789398,0.49997217327383187,0
comp/test prob,10,ant,10,7,all,0,0.9891948539498694,0.499430014397246,0
comp/test prob,15,ant,10,7,all,0,0.952445034754373,0.4963210297392507,0
comp/test prob,20,ant,10,7,all,0,0.8630726398380707,0.48554748682898546,0
comp/test prob,30,ant,10,7,all,0,0.5339498532084198,0.40948555963587707,0
comp/test prob,40,ant,10,7,all,0,0.27259977794659207,0.275807023767278,0
comp/test prob,50,ant,10,7,all,1,0.1560283687943683,0.174603174603215,9
comp prob,none,ant,10,7,all,0,0.9885463960412895,0.4993786787270244,1
barinel,none,ant,10,8,all,2,0.7747403363496923,0.21638486687232752,2
comp/test prob,00,ant,10,8,all,6,1.0,0.3333333333333333,0
comp/test prob,05,ant,10,8,all,3,0.9423800354506287,0.3285452302357461,0
comp/test prob,10,ant,10,8,all,3,0.8896875000000182,0.32309438244754063,0
comp/test prob,15,ant,10,8,all,3,0.8418790891041951,0.3169921605518465,0
comp/test prob,20,ant,10,8,all,3,0.7985989492118928,0.3102040816326471,0
comp/test prob,30,ant,10,8,all,3,0.7230931211980277,0.29412324530093475,0
comp/test prob,40,ant,10,8,all,3,0.6564417177912878,0.27319148936170945,4
comp/test prob,50,ant,10,8,all,4,0.5892857142857356,0.24444444444445546,5
comp prob,none,ant,10,8,all,2,0.9908012559069929,0.3299507204556567,2
barinel,none,ant,10,9,all,3,0.8097603113978279,0.31203195251817745,3
comp/test prob,00,ant,10,9,all,3,1.0,0.3333333333333333,0
comp/test prob,05,ant,10,9,all,1,0.9518617760992849,0.33332494769450216,1
comp/test prob,10,ant,10,9,all,1,0.9045740076666259,0.33315526287026,1
comp/test prob,15,ant,10,9,all,1,0.8524148203033599,0.33215114819717856,1
comp/test prob,20,ant,10,9,all,1,0.7870476190476121,0.3285231564301365,1
comp/test prob,30,ant,10,9,all,1,0.584536190619006,0.2975566031978742,1
comp/test prob,40,ant,10,9,all,1,0.3298450946641332,0.21307538358893385,3
comp/test prob,50,ant,10,9,all,2,0.1574074074073193,0.11805555555550003,7
comp prob,none,ant,10,9,all,3,0.9800049313212881,0.333068482144526,3
barinel,none,ant,10,10,all,2,0.15089388072843635,0.08176352492396166,2
comp/test prob,00,ant,10,10,all,0,1.0,1.0,0
comp/test prob,05,ant,10,10,all,0,0.9724409448818715,0.9698952879580961,0
comp/test prob,10,ant,10,10,all,0,0.9395604395604595,0.9293478260869712,0
comp/test prob,15,ant,10,10,all,0,0.9011461318049482,0.8784916201115,0
comp/test prob,20,ant,10,10,all,0,0.8571428571430068,0.818181818182,0
comp/test prob,30,ant,10,10,all,0,0.7531645569618491,0.676136363636,0
comp/test prob,40,ant,10,10,all,0,0.6315789473686441,0.5217391304350218,0
comp/test prob,50,ant,10,10,all,2,0.5,0.375,0
comp prob,none,ant,10,10,all,0,0.6334206980656446,0.46871256886679913,0
barinel,none,ant,10,11,all,7,0.5323308720802501,0.23915247797895764,7
comp/test prob,00,ant,10,11,all,8,1.0,0.3333333333333333,0
comp/test prob,05,ant,10,11,all,0,0.9964318482793378,0.3342452664069022,1
comp/test prob,10,ant,10,11,all,0,0.9796914988073878,0.33719681274185065,1
comp/test prob,15,ant,10,11,all,0,0.9369893881975713,0.3419656644609082,1
comp/test prob,20,ant,10,11,all,0,0.85539714867604,0.346725371491458,1
comp/test prob,30,ant,10,11,all,0,0.596797562988944,0.33586731398894254,1
comp/test prob,40,ant,10,11,all,0,0.36471805483693104,0.2712581762215106,2
comp/test prob,50,ant,10,11,all,5,0.22727272727272718,0.18867924528301885,8
comp prob,none,ant,10,11,all,7,0.9893640368408737,0.33319184128246127,7
barinel,none,ant,10,12,all,15,0.5130264158416414,0.21306907494704386,15
comp/test prob,00,ant,10,12,all,15,1.0,0.3333333333333333,0
comp/test prob,05,ant,10,12,all,0,0.99536329322099,0.3330036962976432,2
comp/test prob,10,ant,10,12,all,0,0.9702734839476824,0.33014160485502275,2
comp/test prob,15,ant,10,12,all,0,0.9042112763711987,0.320555742081963,2
comp/test prob,20,ant,10,12,all,0,0.7831184056272004,0.29888143176734794,2
comp/test prob,30,ant,10,12,all,0,0.44965138873018917,0.2123616734143498,2
comp/test prob,40,ant,10,12,all,0,0.20792079207902062,0.11559633027515655,4
comp/test prob,50,ant,10,12,all,13,0.09756097560975603,0.057971014492753575,10
comp prob,none,ant,10,12,all,15,0.9886335726987553,0.3311352732112782,15
barinel,none,ant,10,13,all,1,0.8012713888654044,0.31418494575462336,0
comp/test prob,00,ant,10,13,all,0,1.0,0.5,0
comp/test prob,05,ant,10,13,all,0,0.9013554216867026,0.47218934911241706,0
comp/test prob,10,ant,10,13,all,0,0.8070652173913418,0.44000000000001743,0
comp/test prob,15,ant,10,13,all,0,0.7187500000000525,0.4051813471502685,0
comp/test prob,20,ant,10,13,all,0,0.637168141593076,0.3692307692308523,0
comp/test prob,30,ant,10,13,all,0,0.49456521739142656,0.2983606557377702,2
comp/test prob,40,ant,10,13,all,0,0.37724550898221587,0.23333333333344655,6
comp/test prob,50,ant,10,13,all,1,0.28125,0.1764705882352941,6
comp prob,none,ant,10,13,all,0,0.9062027531187407,0.47575942039254177,0
barinel,none,ant,10,14,all,0,1.0,0.3333333333333333,0
comp/test prob,00,ant,10,14,all,5,1.0,0.4166666666666667,0
comp/test prob,05,ant,10,14,all,5,0.9877983861339845,0.4141084750952503,5
comp/test prob,10,ant,10,14,all,5,0.9712423216747775,0.4105776364599813,5
comp/test prob,15,ant,10,14,all,5,0.9505078982294949,0.4060356774944191,5
comp/test prob,20,ant,10,14,all,5,0.9258536585364608,0.400421940928242,5
comp/test prob,30,ant,10,14,all,5,0.8657229887117659,0.38547949577151763,5
comp/test prob,40,ant,10,14,all,5,0.791585760517691,0.3639880952380671,5
comp/test prob,50,ant,10,14,all,5,0.7027027027026135,0.33333333333329973,5
comp prob,none,ant,10,14,all,0,1.0,0.3333333333333333,0
barinel,none,ant,10,15,all,8,0.5683856522148216,0.23428049601398696,8
comp/test prob,00,ant,10,15,all,8,1.0,0.3333333333333333,0
comp/test prob,05,ant,10,15,all,0,0.9407884279128745,0.35035939609617356,0
comp/test prob,10,ant,10,15,all,0,0.8672607018189187,0.36580262699061444,0
comp/test prob,15,ant,10,15,all,0,0.7864248250838942,0.375666514747243,0
comp/test prob,20,ant,10,15,all,0,0.7044917257683754,0.3762626262625483,0
comp/test prob,30,ant,10,15,all,0,0.5519782777347699,0.34432576307527,0
comp/test prob,40,ant,10,15,all,0,0.42245295262804056,0.2807244501939685,3
comp/test prob,50,ant,10,15,all,7,0.3148148148148345,0.2098765432098792,6
comp prob,none,ant,10,15,all,8,0.9862655320394715,0.33256189610552433,8
barinel,none,ant,10,16,all,4,0.6593971000717903,0.2749530530266498,4
comp/test prob,00,ant,10,16,all,9,1.0,0.3333333333333333,0
comp/test prob,05,ant,10,16,all,1,0.9245526207643396,0.33283123415529636,1
comp/test prob,10,ant,10,16,all,1,0.8139848812094799,0.329184408778241,1
comp/test prob,15,ant,10,16,all,1,0.6963779721571927,0.3197066699732693,1
comp/test prob,20,ant,10,16,all,1,0.5899705014750032,0.30349013657057594,0
comp/test prob,30,ant,10,16,all,1,0.42499609558051926,0.25589486799747496,0
comp/test prob,40,ant,10,16,all,1,0.30759951749081355,0.20094562647750047,7
comp/test prob,50,ant,10,16,all,4,0.21874999999999986,0.1489361702127659,9
comp prob,none,ant,10,16,all,1,0.9805329751596673,0.3325243325724572,1
barinel,none,ant,10,17,all,2,0.7351485159376445,0.3938992049623767,2
comp/test prob,00,ant,10,17,all,2,1.0,0.5,0
comp/test prob,05,ant,10,17,all,0,0.9476309226932339,0.4973821989528788,0
comp/test prob,10,ant,10,17,all,0,0.8910891089109226,0.48913043478260326,0
comp/test prob,15,ant,10,17,all,0,0.8312958435204806,0.4748603351955,0
comp/test prob,20,ant,10,17,all,0,0.7692307692309645,0.45454545454550005,0
comp/test prob,30,ant,10,17,all,0,0.6422018348621336,0.39772727272700004,0
comp/test prob,40,ant,10,17,all,0,0.5172413793105364,0.32608695652182607,0
comp/test prob,50,ant,10,17,all,2,0.4,0.25,0
comp prob,none,ant,10,17,all,0,0.9873563383092158,0.49855191564658186,0
barinel,none,ant,10,18,all,3,0.6786188912859212,0.23538784376713215,2
comp/test prob,00,ant,10,18,all,4,1.0,0.375,0
comp/test prob,05,ant,10,18,all,0,0.9658227349687123,0.38069724049209214,0
comp/test prob,10,ant,10,18,all,0,0.9298284205895143,0.3849025678382821,0
comp/test prob,15,ant,10,18,all,0,0.8916263234258107,0.3869143847429402,0
comp/test prob,20,ant,10,18,all,0,0.8505747126438333,0.38586326767090506,0
comp/test prob,30,ant,10,18,all,0,0.7564168377824239,0.37044330847234347,0
comp/test prob,40,ant,10,18,all,0,0.640256959314903,0.33075221238945157,0
comp/test prob,50,ant,10,18,all,3,0.5000000000000945,0.26470588235299997,4
comp prob,none,ant,10,18,all,2,0.9864876789297585,0.37043146864654,1
barinel,none,ant,10,19,all,1,0.19388729925643103,0.11012477479478405,1
comp/test prob,00,ant,10,19,all,0,1.0,1.0,0
comp/test prob,05,ant,10,19,all,0,0.9262782401902041,0.9251781472683648,0
comp/test prob,10,ant,10,19,all,0,0.8552036199095192,0.851351351351369,0
comp/test prob,15,ant,10,19,all,0,0.7868675995699099,0.7793176972286234,0
comp/test prob,20,ant,10,19,all,0,0.7213114754095444,0.7096774193545773,0
comp/test prob,30,ant,10,19,all,0,0.5985130111525874,0.5791366906476892,0
comp/test prob,40,ant,10,19,all,0,0.4864864864864864,0.46153846153846145,0
comp/test prob,50,ant,10,19,all,1,0.3846153846153846,0.35714285714285715,1
comp prob,none,ant,10,19,all,0,0.6361632921518713,0.49946173503372143,0
barinel,none,ant,10,20,all,0,0.42264987473549187,0.45911648836471824,0
comp/test prob,00,ant,10,20,all,0,1.0,1.0,0
comp/test prob,05,ant,10,20,all,0,0.9256410256410024,0.9450261780104536,0
comp/test prob,10,ant,10,20,all,0,0.736363636363629,0.7941176470588174,0
comp/test prob,15,ant,10,20,all,0,0.5254545454550402,0.6046025104607254,0
comp/test prob,20,ant,10,20,all,0,0.3555555555555556,0.43243243243243246,0
comp/test prob,30,ant,10,20,all,0,0.15806451612898906,0.20588235294112345,0
comp/test prob,40,ant,10,20,all,0,0.0719999999999655,0.09677419354834196,2
comp/test prob,50,ant,10,20,all,0,0.03333333333333335,0.045454545454545456,6
comp prob,none,ant,10,20,all,0,0.8041877084357593,0.812394888288182,0
barinel,none,ant,20,0,all,1,0.5459752269753225,0.2945089111706589,1
comp/test prob,00,ant,20,0,all,0,1.0,0.5,0
comp/test prob,05,ant,20,0,all,0,0.9691275167785635,0.4878378378378541,0
comp/test prob,10,ant,20,0,all,0,0.8756756756755886,0.44999999999996415,0
comp/test prob,15,ant,20,0,all,0,0.7363057324837007,0.39054054054037546,0
comp/test prob,20,ant,20,0,all,0,0.5818181818181818,0.31999999999999995,0
comp/test prob,30,ant,20,0,all,0,0.32131147541027316,0.18846153846177374,0
comp/test prob,40,ant,20,0,all,0,0.16363636363650053,0.10000000000007993,1
comp/test prob,50,ant,20,0,all,0,0.07999999999999997,0.04999999999999998,1
comp prob,none,ant,20,0,all,0,0.9385675409953896,0.469342146021265,0
barinel,none,ant,20,1,all,0,0.8908040518756654,0.45758328346632116,0
comp/test prob,00,ant,20,1,all,0,1.0,0.5,0
comp/test prob,05,ant,20,1,all,0,0.9968824713499859,0.49900693327901174,0
comp/test prob,10,ant,20,1,all,0,0.9708349980024185,0.4907108239095383,0
comp/test prob,15,ant,20,1,all,0,0.8906089967278878,0.4643974554081755,0
comp/test prob,20,ant,20,1,all,0,0.7373271889399131,0.4097311139563886,0
comp/test prob,30,ant,20,1,all,0,0.34896734154031483,0.23435364853782642,0
comp/test prob,40,ant,20,1,all,0,0.12064343163531707,0.09336099585055327,6
comp/test prob,50,ant,20,1,all,0,0.03773584905660377,0.03125,7
comp prob,none,ant,20,1,all,1,0.9959629807207135,0.4979840750755802,1
barinel,none,ant,20,2,all,8,0.5081409184506744,0.139394288740802,8
comp/test prob,00,ant,20,2,all,9,1.0,0.2,0
comp/test prob,05,ant,20,2,all,1,0.8785655979352919,0.2300279039461038,1
comp/test prob,10,ant,20,2,all,1,0.7984259037702366,0.25679693820401134,1
comp/test prob,15,ant,20,2,all,1,0.7408642249214016,0.2768051805765336,1
comp/test prob,20,ant,20,2,all,1,0.6943524622535482,0.2883128350678131,1
comp/test prob,30,ant,20,2,all,1,0.6095643708837908,0.2843143125409421,1
comp/test prob,40,ant,20,2,all,1,0.5143663776705064,0.24730685920575265,5
comp/test prob,50,ant,20,2,all,6,0.3992094861660005,0.18703703703704164,11
comp prob,none,ant,20,2,all,8,0.9791855772964492,0.19975587691181085,8
barinel,none,ant,20,3,all,3,0.9376197107517403,0.6020001395272012,3
comp/test prob,00,ant,20,3,all,4,1.0,0.6666666666666666,0
comp/test prob,05,ant,20,3,all,2,0.8806040338593082,0.630207164759546,0
comp/test prob,10,ant,20,3,all,2,0.7778166550035933,0.5909090909091288,0
comp/test prob,15,ant,20,3,all,2,0.6933003031873556,0.5522471579196369,0
comp/test prob,20,ant,20,3,all,2,0.6247464503040955,0.5159128978223619,0
comp/test prob,30,ant,20,3,all,2,0.5230198985562623,0.45180316818324734,0
comp/test prob,40,ant,20,3,all,2,0.4515306122450203,0.39730639730649225,3
comp/test prob,50,ant,20,3,all,4,0.3965517241379312,0.34848484848484873,5
comp prob,none,ant,20,3,all,3,0.9711661567625358,0.644908529184463,3
barinel,none,ant,20,4,all,5,0.3580881278498412,0.26821708147186085,5
comp/test prob,00,ant,20,4,all,0,1.0,1.0,0
comp/test prob,05,ant,20,4,all,0,0.7862809511513846,0.7871840405514293,0
comp/test prob,10,ant,20,4,all,0,0.660476845483831,0.6638928717739688,0
comp/test prob,15,ant,20,4,all,0,0.550815115941426,0.5581574470610453,0
comp/test prob,20,ant,20,4,all,0,0.444025453688278,0.45551257253368005,0
comp/test prob,30,ant,20,4,all,0,0.2601786472502684,0.2753378378378339,1
comp/test prob,40,ant,20,4,all,0,0.14257735996846913,0.1552680221809446,1
comp/test prob,50,ant,20,4,all,23,0.07808219178084265,0.08689024390245031,5
comp prob,none,ant,20,4,all,0,0.6534320443116857,0.5810958525363953,0
barinel,none,ant,20,5,all,0,0.44789871745499005,0.5602677279435228,0
comp/test prob,00,ant,20,5,all,0,1.0,1.0,0
comp/test prob,05,ant,20,5,all,0,0.9963394439440997,0.9980283882983731,0
comp/test prob,10,ant,20,5,all,0,0.9650516282765345,0.9810254339928018,0
comp/test prob,15,ant,20,5,all,0,0.8682973383760973,0.9254881276431018,0
comp/test prob,20,ant,20,5,all,0,0.6896551724133518,0.8080808080804748,0
comp/test prob,30,ant,20,5,all,0,0.28935380462261906,0.43800280934708746,0
comp/test prob,40,ant,20,5,all,0,0.09127789046632179,0.1624548736458701,2
comp/test prob,50,ant,20,5,all,0,0.027027027027044126,0.051282051282079494,10
comp prob,none,ant,20,5,all,0,0.9019285844284921,0.9022692298640024,0
barinel,none,ant,20,6,all,7,0.5176197770443991,0.22120174517432176,7
comp/test prob,00,ant,20,6,all,11,1.0,0.3333333333333333,0
comp/test prob,05,ant,20,6,all,1,0.9991258851937659,0.3333115680524998,0
comp/test prob,10,ant,20,6,all,2,0.9902103065676607,0.33287623960187546,0
comp/test prob,15,ant,20,6,all,1,0.9549301755128563,0.3303156299257457,0
comp/test prob,20,ant,20,6,all,2,0.8646044624747382,0.32127378933483497,0
comp/test prob,30,ant,20,6,all,1,0.5165250403018323,0.25822558198578244,3
comp/test prob,40,ant,20,6,all,1,0.24479193996959603,0.15788404914204685,5
comp/test prob,50,ant,20,6,all,6,0.13017751479289957,0.09166666666666663,11
comp prob,none,ant,20,6,all,7,0.9789959803939432,0.3296632349616056,7
barinel,none,ant,20,7,all,4,0.5041445870205542,0.3370269721240136,4
comp/test prob,00,ant,20,7,all,1,1.0,0.5,0
comp/test prob,05,ant,20,7,all,0,0.9989924305789398,0.49997217327383187,0
comp/test prob,10,ant,20,7,all,0,0.9891948539498694,0.499430014397246,0
comp/test prob,15,ant,20,7,all,0,0.952445034754373,0.4963210297392507,0
comp/test prob,20,ant,20,7,all,0,0.8630726398380707,0.48554748682898546,0
comp/test prob,30,ant,20,7,all,0,0.5339498532084198,0.40948555963587707,0
comp/test prob,40,ant,20,7,all,0,0.27259977794659207,0.275807023767278,0
comp/test prob,50,ant,20,7,all,1,0.1560283687943683,0.174603174603215,9
comp prob,none,ant,20,7,all,0,0.9885463960412895,0.4993786787270244,1
barinel,none,ant,20,8,all,7,0.5210563765152691,0.14180484354531453,7
comp/test prob,00,ant,20,8,all,7,1.0,0.2,0
comp/test prob,05,ant,20,8,all,7,0.9074213238734982,0.22184465826959437,11
comp/test prob,10,ant,20,8,all,7,0.8329958978545029,0.2446410165237651,11
comp/test prob,15,ant,20,8,all,7,0.7737920049996949,0.2643706897797943,11
comp/test prob,20,ant,20,8,all,7,0.7233923772001483,0.27753503457563217,11
comp/test prob,30,ant,20,8,all,7,0.6249741215436435,0.27423374479810814,12
comp/test prob,40,ant,20,8,all,3,0.5025886610002926,0.2271665684881495,13
comp/test prob,50,ant,20,8,all,8,0.3542600896860494,0.15490196078429994,13
comp prob,none,ant,20,8,all,7,0.9440141979951102,0.1959587009676834,7
barinel,none,ant,20,9,all,3,0.8097603113978279,0.31203195251817745,3
comp/test prob,00,ant,20,9,all,3,1.0,0.3333333333333333,0
comp/test prob,05,ant,20,9,all,1,0.9518617760992849,0.33332494769450216,1
comp/test prob,10,ant,20,9,all,1,0.9045740076666259,0.33315526287026,1
comp/test prob,15,ant,20,9,all,1,0.8524148203033599,0.33215114819717856,1
comp/test prob,20,ant,20,9,all,1,0.7870476190476121,0.3285231564301365,1
comp/test prob,30,ant,20,9,all,1,0.584536190619006,0.2975566031978742,1
comp/test prob,40,ant,20,9,all,1,0.3298450946641332,0.21307538358893385,3
comp/test prob,50,ant,20,9,all,2,0.1574074074073193,0.11805555555550003,7
comp prob,none,ant,20,9,all,3,0.9800049313212881,0.333068482144526,3
barinel,none,ant,20,10,all,3,0.1659192016073588,0.060378100955598396,3
comp/test prob,00,ant,20,10,all,5,1.0,0.6666666666666666,0
comp/test prob,05,ant,20,10,all,1,0.8951367781155598,0.6483337128975988,0
comp/test prob,10,ant,20,10,all,1,0.8172866520787946,0.6266778523489936,0
comp/test prob,15,ant,20,10,all,1,0.7547407829414317,0.6017455064564581,0
comp/test prob,20,ant,20,10,all,1,0.701421800947876,0.5736434108527245,0
comp/test prob,30,ant,20,10,all,1,0.609862033725142,0.5087382779198595,0
comp/test prob,40,ant,20,10,all,1,0.5274725274724549,0.4343891402714706,1
comp/test prob,50,ant,20,10,all,5,0.4473684210526316,0.3541666666666667,1
comp prob,none,ant,20,10,all,3,0.6626842508845345,0.33241925960603436,3
barinel,none,ant,20,11,all,7,0.5323308720802501,0.23915247797895764,7
comp/test prob,00,ant,20,11,all,8,1.0,0.3333333333333333,0
comp/test prob,05,ant,20,11,all,0,0.9964318482793378,0.3342452664069022,1
comp/test prob,10,ant,20,11,all,0,0.9796914988073878,0.33719681274185065,1
comp/test prob,15,ant,20,11,all,0,0.9369893881975713,0.3419656644609082,1
comp/test prob,20,ant,20,11,all,0,0.85539714867604,0.346725371491458,1
comp/test prob,30,ant,20,11,all,0,0.596797562988944,0.33586731398894254,1
comp/test prob,40,ant,20,11,all,0,0.36471805483693104,0.2712581762215106,2
comp/test prob,50,ant,20,11,all,5,0.22727272727272718,0.18867924528301885,8
comp prob,none,ant,20,11,all,7,0.9893640368408737,0.33319184128246127,7
barinel,none,ant,20,12,all,15,0.5130264158416414,0.21306907494704386,15
comp/test prob,00,ant,20,12,all,15,1.0,0.3333333333333333,0
comp/test prob,05,ant,20,12,all,0,0.99536329322099,0.3330036962976432,2
comp/test prob,10,ant,20,12,all,0,0.9702734839476824,0.33014160485502275,2
comp/test prob,15,ant,20,12,all,0,0.9042112763711987,0.320555742081963,2
comp/test prob,20,ant,20,12,all,0,0.7831184056272004,0.29888143176734794,2
comp/test prob,30,ant,20,12,all,0,0.44965138873018917,0.2123616734143498,2
comp/test prob,40,ant,20,12,all,0,0.20792079207902062,0.11559633027515655,4
comp/test prob,50,ant,20,12,all,13,0.09756097560975603,0.057971014492753575,10
comp prob,none,ant,20,12,all,15,0.9886335726987553,0.3311352732112782,15
barinel,none,ant,20,13,all,1,0.27844583923317595,0.10929641223336424,1
comp/test prob,00,ant,20,13,all,0,1.0,0.5,0
comp/test prob,05,ant,20,13,all,0,0.8703312191683276,0.4620276842498721,0
comp/test prob,10,ant,20,13,all,0,0.7517899761337723,0.4183266932271408,0
comp/test prob,15,ant,20,13,all,0,0.646879756469016,0.37313432835830107,0
comp/test prob,20,ant,20,13,all,0,0.5555555555563557,0.3292181069963013,0
comp/test prob,30,ant,20,13,all,0,0.408560311284561,0.2505966587114831,3
comp/test prob,40,ant,20,13,all,0,0.2988047808763237,0.18656716417899863,8
comp/test prob,50,ant,20,13,all,2,0.21568627450980407,0.13580246913580266,8
comp prob,none,ant,20,13,all,1,0.8821453171688584,0.5568157096124043,1
barinel,none,ant,20,14,all,0,1.0,0.3333333333333333,0
comp/test prob,00,ant,20,14,all,5,1.0,0.4166666666666667,0
comp/test prob,05,ant,20,14,all,5,0.9877983861339845,0.4141084750952503,5
comp/test prob,10,ant,20,14,all,5,0.9712423216747775,0.4105776364599813,5
comp/test prob,15,ant,20,14,all,5,0.9505078982294949,0.4060356774944191,5
comp/test prob,20,ant,20,14,all,5,0.9258536585364608,0.400421940928242,5
comp/test prob,30,ant,20,14,all,5,0.8657229887117659,0.38547949577151763,5
comp/test prob,40,ant,20,14,all,5,0.791585760517691,0.3639880952380671,5
comp/test prob,50,ant,20,14,all,5,0.7027027027026135,0.33333333333329973,5
comp prob,none,ant,20,14,all,0,1.0,0.3333333333333333,0
barinel,none,ant,20,15,all,6,0.6693156896964932,0.19591711576197998,6
comp/test prob,00,ant,20,15,all,12,1.0,0.25,0
comp/test prob,05,ant,20,15,all,5,0.9956579507397844,0.2506720566217834,8
